#[[Fit Statistics]]
#    # function evals   = 31
#    # data points      = 494
#    # variables        = 6
#    chi-square         = 667.388
#    reduced chi-square = 1.368
#    Akaike info crit   = 160.613
#    Bayesian info crit = 185.828
#[[Variables]]
#    R:           62.5306 (fixed)
#    dshell:      18.3000000 +/- 0.068788 (0.38%) (init= 18.54)
#    SLDcore:     6.069e-06 (fixed)
#    SLDshell:    2.7840e-06 +/- 1.75e-08 (0.63%) (init= 2.768e-06)
#    SLDmatrix:   5.664e-06 (fixed)
#    sigR:        0.0942 (fixed)
#    sigdshell:   0 (fixed)
#    dth_sa:      0.00115702 +/- 5.73e-05 (4.95%) (init= 0.001155)
#    dth_la:      0.00159000 +/- 2.06e-05 (1.30%) (init= 0.001585)
#    i0:          0.61800000 +/- 0.007852 (1.27%) (init= 0.59)
#    bg:          0.01638000 +/- 0.000157 (0.96%) (init= 0.01458)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(SLDshell, i0)              =  0.724 
#    C(SLDshell, dth_la)          =  0.624 
#    C(i0, bg)                    = -0.463 
#    C(dshell, SLDshell)          =  0.456 
#    C(dshell, bg)                =  0.446 
#    C(dth_la, i0)                =  0.370 
#    C(dshell, dth_la)            =  0.361 
#    C(SLDshell, dth_sa)          =  0.306 
#    C(dshell, i0)                = -0.279 
#    C(dth_sa, dth_la)            =  0.242 
#    C(dshell, dth_sa)            =  0.202 
#    C(dth_sa, i0)                =  0.159 #q / A-1 	 I / cm-1 	 sI / cm-1 	 Imodel / cm-1
0.0727033	0.161124549136	0.0023128884909	0.164231560619
0.073734	0.144265826457	0.00221557538053	0.148470947855
0.0747812	0.132874518812	0.00223120393483	0.133432499066
0.0758126	0.113672372644	0.00214098299019	0.119731823658
0.0768748	0.10371755093	0.00214830726317	0.106929961777
0.0779042	0.0898882575873	0.00208590480132	0.0958756336803
0.0789678	0.0792704688177	0.00209255854226	0.0859362564546
0.0799998	0.0722557581353	0.00205111450471	0.0777554785625
0.0810709	0.0656666633622	0.00203808211289	0.0707961187775
0.0820881	0.0611833830339	0.00202732781068	0.0655922810629
0.0831415	0.0579326781265	0.00200591376846	0.0615962575783
0.0841674	0.0521451270292	0.00197757089524	0.0589820574562
0.0852343	0.0533758971715	0.00197005749785	0.0574958121974
0.086247	0.052909361615	0.00197182839014	0.0571305383639
0.0873058	0.0520815124518	0.00194815345145	0.0577043970009
0.0883477	0.0559317417689	0.00190212744502	0.0590834047713
0.089421	0.0566561742609	0.00194191234561	0.0611911155313
0.0904328	0.0591069688398	0.00191929478436	0.0636773358663
0.0915037	0.0639512189123	0.00189579177696	0.0666808443474
0.0925359	0.066590106323	0.00188855346964	0.069801452426
0.0936083	0.069404793478	0.0018848311572	0.073134252741
0.0946286	0.0760032585064	0.00190781837073	0.0762731023369
0.0957008	0.0738703648834	0.00183922638242	0.0794185934454
0.0967276	0.0781644348266	0.00193141594033	0.082189081535
0.0977733	0.0796706388961	0.00183239211363	0.0846842371972
0.0988083	0.0840912502691	0.00190217042784	0.0867620007864
0.0998538	0.0887406162239	0.0018183711169	0.0884136577334
0.100906	0.0879832588897	0.00186286693485	0.0895817562427
0.101953	0.0905622282456	0.00180033552454	0.0902341334338
0.103015	0.0871038303394	0.00182948647482	0.0903654025815
0.104059	0.0895933954243	0.00180522696975	0.08998194376
0.105102	0.0898315202615	0.00181991849851	0.0891067303111
0.106137	0.0907573702602	0.00177458021724	0.0877829970525
0.107187	0.0886529312658	0.00180196027523	0.0860136695299
0.108231	0.0853221923427	0.0017408129118	0.0838750722644
0.109291	0.0848548830954	0.00179136071118	0.0813693956753
0.110329	0.0803911169685	0.00171827271963	0.0786452765407
0.111398	0.0786721479272	0.00175893446981	0.0756226888489
0.112424	0.0762206656231	0.00171457619689	0.0725703875595
0.113471	0.0740887176222	0.00174719156268	0.069363898549
0.114489	0.0696524605018	0.00169053160593	0.0662099775005
0.115556	0.0680639873099	0.00169355759664	0.0629249442986
0.116578	0.0626691272799	0.00169366075541	0.0598411931558
0.117636	0.0616362500528	0.0016694356366	0.0567632361961
0.118662	0.0580343754847	0.00166287645787	0.0539245911184
0.119735	0.0544046480476	0.00163305497555	0.0511488344594
0.120761	0.051233203465	0.00165997941562	0.0487021409437
0.121831	0.0508469598211	0.00160299278942	0.0463904196701
0.122862	0.0507983892316	0.00164082626987	0.0444074497948
0.123925	0.0467635916742	0.00157987662743	0.0426230361657
0.124959	0.0418225442853	0.00163138724203	0.0411412092094
0.12601	0.0431466731182	0.00156788441992	0.0398871756452
0.127048	0.0415479700145	0.00162102838179	0.0388908049255
0.128098	0.0383716253901	0.00154055594132	0.0381130125453
0.129146	0.0379187583712	0.00160584684884	0.0375511895155
0.130192	0.0376611193326	0.00163223830192	0.0371824707014
0.131225	0.0367869346866	0.00170863597081	0.036985796787
0.132284	0.0366567826997	0.00175798884771	0.0369313684546
0.133325	0.0337145225272	0.00185696109503	0.036998414803
0.134359	0.0359313186199	0.001861087446	0.037157748668
0.135405	0.0372650756051	0.00191787635122	0.0373883251538
0.13645	0.0347044169317	0.00195066364829	0.0376637220073
0.137512	0.0337754721697	0.00197652211437	0.0379660496442
0.138551	0.0373748537341	0.0020813056393	0.0382621780775
0.139585	0.0371099935812	0.00207084362028	0.038538444671
0.14064	0.0380440962819	0.0021101385167	0.0387842519615
0.141687	0.038063954346	0.00217181027056	0.0389777522664
0.142735	0.0385369373258	0.00219676609736	0.0391093184736
0.143782	0.0400820838326	0.00224733108987	0.0391697376588
0.144818	0.0343278014401	0.00231463359349	0.0391532995148
0.145873	0.037863568427	0.00197981459858	0.0390548706032
0.14691	0.0355167063131	0.00218531547342	0.038876585593
0.148007	0.0395767777701	0.00204526884083	0.0386012069216
0.149011	0.0365696135355	0.0020649033942	0.038273504447
0.150063	0.0350972799302	0.00220339404861	0.0378578579375
0.151119	0.0389037527339	0.00196155549554	0.0373721132484
0.152153	0.0387372372791	0.00213358134814	0.036837831419
0.153238	0.0367032041481	0.00206529883616	0.0362242470582
0.154236	0.0380595700981	0.00203143696852	0.0356195132553
0.155285	0.0366221385447	0.00220748601332	0.0349529354746
0.156341	0.0341990249035	0.00195822002851	0.0342587743546
